parameter,scale,norm_grade,metric,filter_type,filter_value,base_n,norm_value
Absorbance Speed,7,Average 50%,TB%,Gender,Perempuan,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Gender,Perempuan,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Gender,Perempuan,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Gender,Perempuan,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Gender,Perempuan,7,0.0
Absorbance Speed,7,Top 25%,MS,Gender,Perempuan,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Gender,Perempuan,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Gender,Perempuan,7,100.0
Absorbance Speed,7,Top 25%,TB%,Gender,Perempuan,7,100.0
Absorbance Speed,7,Average 50%,MS,Methodology,CLT Pre-Recruit,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Methodology,CLT Pre-Recruit,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Methodology,CLT Pre-Recruit,15,100.0
Absorbance Speed,7,Average 50%,TB%,Methodology,CLT Pre-Recruit,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Methodology,CLT Pre-Recruit,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Methodology,CLT Pre-Recruit,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Methodology,CLT Pre-Recruit,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Methodology,CLT Pre-Recruit,7,0.0
Absorbance Speed,7,Top 25%,MS,Methodology,CLT Pre-Recruit,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Methodology,CLT Pre-Recruit,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Methodology,CLT Pre-Recruit,7,100.0
Absorbance Speed,7,Top 25%,TB%,Methodology,CLT Pre-Recruit,7,100.0
Absorbance Speed,7,Average 50%,MS,Occupation,Ibu rumah tangga,6,7.0
Absorbance Speed,7,Average 50%,T2B%,Occupation,Ibu rumah tangga,6,100.0
Absorbance Speed,7,Average 50%,T3B%,Occupation,Ibu rumah tangga,6,100.0
Absorbance Speed,7,Average 50%,TB%,Occupation,Ibu rumah tangga,6,100.0
Absorbance Speed,7,Bottom 25%,MS,Occupation,Ibu rumah tangga,3,6.0
Absorbance Speed,7,Bottom 25%,T2B%,Occupation,Ibu rumah tangga,3,100.0
Absorbance Speed,7,Bottom 25%,T3B%,Occupation,Ibu rumah tangga,3,100.0
Absorbance Speed,7,Bottom 25%,TB%,Occupation,Ibu rumah tangga,3,0.0
Absorbance Speed,7,Top 25%,MS,Occupation,Ibu rumah tangga,3,7.0
Absorbance Speed,7,Top 25%,T2B%,Occupation,Ibu rumah tangga,3,100.0
Absorbance Speed,7,Top 25%,T3B%,Occupation,Ibu rumah tangga,3,100.0
Absorbance Speed,7,Top 25%,TB%,Occupation,Ibu rumah tangga,3,100.0
Absorbance Speed,7,Average 50%,MS,Occupation,Mahasiswa,3,7.0
Absorbance Speed,7,Average 50%,T2B%,Occupation,Mahasiswa,3,100.0
Absorbance Speed,7,Average 50%,T3B%,Occupation,Mahasiswa,3,100.0
Absorbance Speed,7,Average 50%,TB%,Occupation,Mahasiswa,3,100.0
Absorbance Speed,7,Bottom 25%,MS,Occupation,Mahasiswa,1,2.0
Absorbance Speed,7,Bottom 25%,T2B%,Occupation,Mahasiswa,1,0.0
Absorbance Speed,7,Bottom 25%,T3B%,Occupation,Mahasiswa,1,0.0
Absorbance Speed,7,Bottom 25%,TB%,Occupation,Mahasiswa,1,0.0
Absorbance Speed,7,Top 25%,MS,Occupation,Mahasiswa,1,7.0
Absorbance Speed,7,Top 25%,T2B%,Occupation,Mahasiswa,1,100.0
Absorbance Speed,7,Top 25%,T3B%,Occupation,Mahasiswa,1,100.0
Absorbance Speed,7,Top 25%,TB%,Occupation,Mahasiswa,1,100.0
Absorbance Speed,7,Average 50%,MS,Occupation,Pegawai swasta,4,7.0
Absorbance Speed,7,Average 50%,T2B%,Occupation,Pegawai swasta,4,100.0
Absorbance Speed,7,Average 50%,T3B%,Occupation,Pegawai swasta,4,100.0
Absorbance Speed,7,Average 50%,TB%,Occupation,Pegawai swasta,4,100.0
Absorbance Speed,7,Bottom 25%,MS,Occupation,Pegawai swasta,2,2.0
Absorbance Speed,7,Bottom 25%,T2B%,Occupation,Pegawai swasta,2,0.0
Absorbance Speed,7,Bottom 25%,T3B%,Occupation,Pegawai swasta,2,0.0
Absorbance Speed,7,Bottom 25%,TB%,Occupation,Pegawai swasta,2,0.0
Absorbance Speed,7,Top 25%,MS,Occupation,Pegawai swasta,2,7.0
Absorbance Speed,7,Top 25%,T2B%,Occupation,Pegawai swasta,2,100.0
Absorbance Speed,7,Top 25%,T3B%,Occupation,Pegawai swasta,2,100.0
Absorbance Speed,7,Top 25%,TB%,Occupation,Pegawai swasta,2,100.0
Absorbance Speed,7,Average 50%,MS,Occupation,Pekerja paruh waktu,1,7.0
Absorbance Speed,7,Average 50%,T2B%,Occupation,Pekerja paruh waktu,1,100.0
Absorbance Speed,7,Average 50%,T3B%,Occupation,Pekerja paruh waktu,1,100.0
Absorbance Speed,7,Average 50%,TB%,Occupation,Pekerja paruh waktu,1,100.0
Absorbance Speed,7,Bottom 25%,MS,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Bottom 25%,T2B%,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Bottom 25%,T3B%,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Bottom 25%,TB%,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Top 25%,MS,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Top 25%,T2B%,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Top 25%,T3B%,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Top 25%,TB%,Occupation,Pekerja paruh waktu,0,
Absorbance Speed,7,Average 50%,MS,SES,Upper 1 (A),7,7.0
Absorbance Speed,7,Average 50%,T2B%,SES,Upper 1 (A),7,100.0
Absorbance Speed,7,Average 50%,T3B%,SES,Upper 1 (A),7,100.0
Absorbance Speed,7,Average 50%,TB%,SES,Upper 1 (A),7,100.0
Absorbance Speed,7,Bottom 25%,MS,SES,Upper 1 (A),3,2.0
Absorbance Speed,7,Bottom 25%,T2B%,SES,Upper 1 (A),3,0.0
Absorbance Speed,7,Bottom 25%,T3B%,SES,Upper 1 (A),3,0.0
Absorbance Speed,7,Bottom 25%,TB%,SES,Upper 1 (A),3,0.0
Absorbance Speed,7,Top 25%,MS,SES,Upper 1 (A),3,7.0
Absorbance Speed,7,Top 25%,T2B%,SES,Upper 1 (A),3,100.0
Absorbance Speed,7,Top 25%,T3B%,SES,Upper 1 (A),3,100.0
Absorbance Speed,7,Top 25%,TB%,SES,Upper 1 (A),3,100.0
Absorbance Speed,7,Average 50%,MS,SES,Upper 2 (B),7,7.0
Absorbance Speed,7,Average 50%,T2B%,SES,Upper 2 (B),7,100.0
Absorbance Speed,7,Average 50%,T3B%,SES,Upper 2 (B),7,100.0
Absorbance Speed,7,Average 50%,TB%,SES,Upper 2 (B),7,100.0
Absorbance Speed,7,Bottom 25%,MS,SES,Upper 2 (B),3,5.67
Absorbance Speed,7,Bottom 25%,T2B%,SES,Upper 2 (B),3,66.67
Absorbance Speed,7,Bottom 25%,T3B%,SES,Upper 2 (B),3,100.0
Absorbance Speed,7,Bottom 25%,TB%,SES,Upper 2 (B),3,0.0
Absorbance Speed,7,Top 25%,MS,SES,Upper 2 (B),3,7.0
Absorbance Speed,7,Top 25%,T2B%,SES,Upper 2 (B),3,100.0
Absorbance Speed,7,Top 25%,T3B%,SES,Upper 2 (B),3,100.0
Absorbance Speed,7,Top 25%,TB%,SES,Upper 2 (B),3,100.0
Absorbance Speed,7,Average 50%,MS,Sequence,Product 1,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Sequence,Product 1,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Sequence,Product 1,15,100.0
Absorbance Speed,7,Average 50%,TB%,Sequence,Product 1,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Sequence,Product 1,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Sequence,Product 1,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Sequence,Product 1,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Sequence,Product 1,7,0.0
Absorbance Speed,7,Top 25%,MS,Sequence,Product 1,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Sequence,Product 1,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Sequence,Product 1,7,100.0
Absorbance Speed,7,Top 25%,TB%,Sequence,Product 1,7,100.0
Absorbance Speed,7,Average 50%,MS,Sub-Category,Face Care,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Sub-Category,Face Care,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Sub-Category,Face Care,15,100.0
Absorbance Speed,7,Average 50%,TB%,Sub-Category,Face Care,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Sub-Category,Face Care,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Sub-Category,Face Care,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Sub-Category,Face Care,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Sub-Category,Face Care,7,0.0
Absorbance Speed,7,Top 25%,MS,Sub-Category,Face Care,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Sub-Category,Face Care,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Sub-Category,Face Care,7,100.0
Absorbance Speed,7,Top 25%,TB%,Sub-Category,Face Care,7,100.0
Absorbance Speed,7,Average 50%,MS,Sub-Method,Pure Monadic,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Sub-Method,Pure Monadic,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Sub-Method,Pure Monadic,15,100.0
Absorbance Speed,7,Average 50%,TB%,Sub-Method,Pure Monadic,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Sub-Method,Pure Monadic,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Sub-Method,Pure Monadic,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Sub-Method,Pure Monadic,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Sub-Method,Pure Monadic,7,0.0
Absorbance Speed,7,Top 25%,MS,Sub-Method,Pure Monadic,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Sub-Method,Pure Monadic,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Sub-Method,Pure Monadic,7,100.0
Absorbance Speed,7,Top 25%,TB%,Sub-Method,Pure Monadic,7,100.0
Absorbance Speed,7,Average 50%,MS,Test Type,Blind,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Test Type,Blind,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Test Type,Blind,15,100.0
Absorbance Speed,7,Average 50%,TB%,Test Type,Blind,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Test Type,Blind,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Test Type,Blind,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Test Type,Blind,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Test Type,Blind,7,0.0
Absorbance Speed,7,Top 25%,MS,Test Type,Blind,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Test Type,Blind,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Test Type,Blind,7,100.0
Absorbance Speed,7,Top 25%,TB%,Test Type,Blind,7,100.0
Absorbance Speed,7,Average 50%,MS,Total,Total,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Total,Total,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Total,Total,15,100.0
Absorbance Speed,7,Average 50%,TB%,Total,Total,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Total,Total,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Total,Total,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Total,Total,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Total,Total,7,0.0
Absorbance Speed,7,Top 25%,MS,Total,Total,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Total,Total,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Total,Total,7,100.0
Absorbance Speed,7,Top 25%,TB%,Total,Total,7,100.0
Absorbance Speed,7,Average 50%,MS,Type of Study,Product Test,15,7.0
Absorbance Speed,7,Average 50%,T2B%,Type of Study,Product Test,15,100.0
Absorbance Speed,7,Average 50%,T3B%,Type of Study,Product Test,15,100.0
Absorbance Speed,7,Average 50%,TB%,Type of Study,Product Test,15,100.0
Absorbance Speed,7,Bottom 25%,MS,Type of Study,Product Test,7,4.14
Absorbance Speed,7,Bottom 25%,T2B%,Type of Study,Product Test,7,42.86
Absorbance Speed,7,Bottom 25%,T3B%,Type of Study,Product Test,7,57.14
Absorbance Speed,7,Bottom 25%,TB%,Type of Study,Product Test,7,0.0
Absorbance Speed,7,Top 25%,MS,Type of Study,Product Test,7,7.0
Absorbance Speed,7,Top 25%,T2B%,Type of Study,Product Test,7,100.0
Absorbance Speed,7,Top 25%,T3B%,Type of Study,Product Test,7,100.0
Absorbance Speed,7,Top 25%,TB%,Type of Study,Product Test,7,100.0
Aftertaste,5,Average 50%,MS,# of Product,2,232,4.94
Aftertaste,5,Average 50%,T2B%,# of Product,2,232,100.0
